index,text,true_narratives,true_claims
16,"this is by no means the first time noaa has been given technical information regarding the threat of excessive noise from offshore wind development. such noise can easily cause deadly behavior by whales, including ship strikes, entanglements, and reproductive decline.
we shall see how noaa responds to this serious letter of concern from the save right whales coalition. their ongoing research is also of great interest to us, especially since the rich north atlantic right whale consortium seems to be doing little or nothing about offshore wind.","['N_1', 'N_5']","['C_1_2', 'C_32_4']"
17,"meeting new jersey’s energy needs should be strictly a technical and engineering issue, says droz, but politics gets in the way.
“we have to acknowledge electrical energy choice is a complex technical problem, and for any technical problem we have, the answer should be found in science,” droz said. “the only energy policy which makes sense for new jersey is one based on science.
“therein lies the problem, because nothing in new jersey’s energy policy is based on science, which, to be fair, isn’t just true in new jersey, it applies to new york and other states as well,” droz said. “their energy policies are written by special interest lobbyists, and any connection to science is inadvertent and accidental.”
droz says special interests control the state’s energy policies.
“if there were any scientists involved in this process they would say, ‘hey, this is stupid,'” droz said. “new jersey’s energy policy is written by lobbyists and so-called environmental groups, who call themselves ‘stakeholders,’ but there is no stakeholder representing the public, or ratepayers, or the military, or the environment, or anybody else when these policies are developed—only special-interest stakeholders need apply to shape new jersey’s energy policy.”",['N_0'],['C_0_0']
18,"Osage County is also home to a powerful opponent of wind farm development.
“The site is the problem,” says Everett Waller, a tribal leader with the Osage Nation. “It’s not the alternate energy, the wind energy, anything of that fact.”
While the tribe is worried that wind farm construction could hurt wildlife and disturb native remains and artifacts, one of its biggest concerns is oil.
While many nontribal residents – like Bush – own land in Osage County, the tribal members own most of the mineral rights.
Waller says aboveground wind farms could block drilling and pumping the oil and gas below ground.
“I have a job as chairman of the minerals council to protect my shareholders,” Waller says. “This is a business. We’re in the oil business.”","['N_1', 'N_2', 'N_3']","['C_17_1', 'C_17_3', 'C_1_0', 'C_25_5']"
19,"Thousands of indigenous Lenca in Honduras have been affected by the construction fo a wind power plant. The construction occupies their lands and affects the environment... More information from Telesur’s Jorge Fita.
Thirty kilometers from Tegucigalpa, in Cerro de Hula, Latin America’s largest wind farm is almost finished … However, for the villagers in the area the project has meant loss of their land and destruction of the environment.
Gilma Martínez, resident: “We have been very affected, first because they’ve cheated us, they forced us to sign a rigged contract, and we lost our lands.”","['N_1', 'N_2', 'N_6']","['C_14_0', 'C_17_3', 'C_32_5']"
20,"Several organizations have denounced irregularities in the development of this energy project, primarily because of the lack of environmental impact studies and the lack of information to locals, which is required by international trade agreements. Alfredo Noel, Santa Ana Lenca leader: “We know there wasn’t a prior consultation, as required by the U.N. declaration and which sometimes serves to help indigenous peoples, but there was never such an inquiry.”","['N_2', 'N_5', 'N_6']","['C_15_0', 'C_17_3', 'C_30_0', 'C_32_2']"
21,"“Whereas the right to practice their religious ceremony in the traditional manner will be forever denied by a proposed experimental wind farm consisting of 130 windmill turbines, with propeller blades reaching approximately 440-feet above the surface of the water on about 25 square miles (about the size of Manhattan)…the Wampanoag Tribe most strenuously objects to this proposal and opposes the placement of this wind farm in the traditional Wampanoag waters of their religious and ceremonial sanctuary.”",['N_2'],"['C_17_1', 'C_17_3', 'C_29_0', 'C_5_0']"
22,"the article is about operational noise but site survey noise is just as bad, perhaps much worse. the wind site described is in a low traffic area, as most likely are, with heavy coastal traffic passing nearby. to avoid the horrendous noise, the migrating whales are forced to go around the site, which puts them right into heavy traffic. the potential for increased deaths is obvious, making sentence one deeply false.",['N_1'],['C_1_2']
23,"fishermen across the region have been pressing officials for answers to their concerns about where the turbines will be located, how far apart they will be built, and the placement of the cables to the mainland. commercial fishermen urged regulators to study the potential impact of the proposed wind farms on marine mammals, spawning grounds of herring and squid, and other species that inhabit the area. the fishermen also raised questions about the impact of electromagnetic waves pulsing across the seafloor on species such as sharks, which navigate and hunt in part by sensing electrical currents, and how rotating turbine blades could impede their ability to navigate with radar.","['N_1', 'N_3']","['C_10_0', 'C_1_2', 'C_25_3', 'C_35_0']"
24,"second, there is absolutely zero evidence that massive off shore wind farms will combat “climate change.” and, as is becoming more apparent, huge off shore wind farms that have been built or are being built along the atlantic coast have caused widespread havoc on marine life, including a major spike in whale deaths. what’s more, the components necessary to build off shore wind turbines cause environmental degradation and the gargantuan turbine blades have a short shelf-life and are environmentally toxic.",['N_1'],"['C_1_2', 'C_2_0', 'C_3_0']"
25,"the project is going forward despite opposition from nj residents and dead whales that have washed up on nj shores. on june 8, three groups filed suit in the appellate division of new jersey’s superior court seeking to overturn the new jersey department of environmental protection’s sign-off on the project. the groups state that the project will “hasten the decline of marine species and destroy large parts of the seafloor by compression and hardening.”",['N_1'],"['C_1_2', 'C_5_0']"
26,"Offshore wind development is harmful to whales and other marine life via noise, harassment, displacement into hazardous zones, AND/OR toxic waste AND impacts on fishing industries (reference point from article)","['N_1', 'N_3']","['C_1_2', 'C_25_3']"
28,"Last year, the 6-foot-4 Koch joined the windmill fray because he didn’t like the Nantucket Sound group’s “goofy” P.R. tactics and its purely environmental stance. Koch’s economic arguments have joined the alliance’s battery of other objections: It could undermine Cape Cod, Martha’s Vineyard and Nantucket’s $1 billion-a-year tourist industry, impair radar for boats and planes, kill birds, hurt fisherman and be an eyesore in a body of water that’s equivalent to a national park.","['N_1', 'N_2', 'N_3']","['C_11_0', 'C_1_1', 'C_25_1', 'C_25_3', 'C_35_0']"
31,"Ian McCall, the campaign and policy co-ordinator with the Ramblers’ Association Scotland, said the decision sends a clear signal to wind-farm developers.
“We now expect most planning applications for 100m-plus turbines in the Scottish hills to be rejected. These industrial monsters will not fit into most Scottish landscapes – their place is well offshore.”
He added: “At long last the government appears ready to constrain the relentless march of giant wind turbines across our world famous landscapes.”",['N_2'],"['C_11_0', ‘C_28_2’, ‘C_29_0’]"
32,"But many more skipped the auction, and some were blunt about where they saw opportunity in wind energy. “We continue to pursue the myriad onshore opportunities in the U.S. market,” said Art Sasse, a spokesman at Iberdrola Renewables, a division of Iberdrola, the Spanish energy group. Land-based wind projects are booming, so much so that the United States became the top wind energy producer in the world last year, according to the White House.",['N_0'],['C_0_0']
33,"This is what the DRECP does not mention: a study by the UCLA’s Luskin Center for Innovation calculated that the rooftops in Los Angeles County alone could accommodate over 22,000 megawatts of solar panels. As I pointed out in my earlier post on the DRECP, the plan unfortunately discarded an alternative that would consist only of distributed generation (solar panels on rooftops, over parking lots, and other spaces in our cities). The DRECP’s purpose and need statement (Volume I.1) makes it clear that the Department of Interior and California Energy Commission assume that it is necessary to industrialize desert wildlands for large-scale renewable energy projects, so we’re fighting an uphill battle in convincing the powers that be that there is a more sustainable and wildlife-friendly way to generate clean energy.",['N_0'],['C_0_0']
34,"I appreciate that the Scottish Government is keen to meet its Renewable Energy targets but to rely so heavily on inefficient wind power where turbines are destroying the beauty of our countryside, and now our seascape, to the detriment of the vital tourist industry on which Scotland relies so heavily, seems crazy.
“Yes, of course, we should be looking at using more renewable energy, but this needs Government investment in, for example among others, tidal and wave power which seem to have the potential to provide power with less visible landscape interference and jobs!","['N_2', 'N_3', 'N_4']","['C_11_0', 'C_25_1', 'C_26_0', 'C_28_3']"
35,"in may 2017, indiana governor eric holcomb signed into law a measure that lowers the rate of compensation for customers who install solar or wind power, phasing out retail net metering. systems installed by the end of 2017 were to get the retail rate for 30 years, but the rate will be lowered over a series of years for other customers after 2022. after 2022, solar and wind customers will be compensated at their utility’s marginal cost, plus 25 percent.",['N_0'],['C_0_0']
36,"it’s no wonder climate alarmists, computer modelers, green new deal proponents, and wind turbine, solar panel, battery and concrete salesmen want to silence happer and van wijngaarden – or at least keep their work out of scientific journals. it’s also not surprising that china is happy to see the h&w science suppressed: its companies will be the ones selling us turbines, panels and batteries. follow the science!","['N_6', 'N_7']","['C_32_4', 'C_38_0']"
37,"During the public work session, commissioners discussed the fact that significant construction [on wind turbines] inside of shipping lanes could also impact the Port’s ongoing work to attract cargo business to the International Terminal. Port Commissioners also expressed frustration and puzzlement over the process, which schedules thorough evaluations of environmental impacts and other analysis after development leases have already been awarded.
Commissioner Gil Sylvia, a marine resource economist, was surprised by the process. “If I was looking at the question of what will be the economic impacts, loss of jobs, revenues, taxes, secondary and tertiary impacts, normally an EIS (environmental impact statement) would look at all of that up front and you would ask the questions,” he said. “The fact that it can be done at the end of the process seems bizarre and doesn’t seem consistent with NEPA (National Environmental Policy Act).”","['N_3', 'N_5']","['C_23_0', 'C_25_4', 'C_30_0']"
39,"clearly there is a real research question here. however, the results look to be both abstract and speculative at this point. but then, so is the rest of the climate change scare — abstract, speculative and based on questionable models.
it is both amusing and fitting that these alarming climate models find wind power to be just as scary as carbon dioxide. in wind’s case it might even be true because the generators really are sucking energy out of the air, and energy is what makes weather.",['N_1'],"['C_1_0', 'C_2_0']"
40,"Green further stated, “A commission to study the health impacts of wind turbines could make great advances. Since the spring of 2010 when the people in Falmouth, my Cape Cod community, started to experience health problems, I and others started to call for an honest, reliable, peer-reviewed scientific study of the people who are living in the proximity of wind turbines and experiencing health problems they did not have prior to the construction of the wind turbines. To date this has not happened. People who have filed numerous health complaints are still suffering, some even more than five years after their first complaint because the root of their problems has not been addressed. If this was any other health hazard, the source of the problem would have been shut down long ago. It is extremely important that the health, safety and well being of the citizens in MA are first and foremost.” Efforts to combat climate disruption should not harm human health or the very environment we are trying to protect.","['N_5', 'N_8']","['C_30_0', 'C_32_1']"
41,"in the u.s., this foolishness is happening every day as the federal government, in addition to state governments, is massively subsidizing wind and solar power—even though they are, in most places, only niche sources of fuel. with more than $100 billion spent already, less than 10% of our energy comes from the wind and the sun, with most of the other 90% coming from good old-fashioned fossil fuels. for all the talk about the falling costs of solar and wind power—and yes, they are falling—without billions of dollars of cash subsidies and tax breaks for the “renewable” energy sector, along with mandates requiring utilities to buy the power at any cost, wind and solar energy would be hopelessly expensive in most areas of the country. as a result, they would quickly surrender market share to natural gas and clean coal. (don’t look now, but coal prices are falling, too.)","['N_3', 'N_4']","['C_24_0', 'C_26_0', 'C_27_0', 'C_28_5']"
42,"the dark side of renewable wind, solar and biofuel energy is that they are not clean, green, renewable or sustainable. they are horrifically destructive to vital ecological values that will last for generations to come.",['N_1'],"['C_1_0', 'C_3_0']"
43,"federal regulators are blowing right past their watchdog roles without fully understanding the threat wind platforms pose to endangered whales and other precious marine life.
 they are blind to the unusual sight
of whale carcasses washing up on our beaches.
massive offshore wind construction is industrializing our unspoiled coast, to the detriment of marine life, fishermen, boaters, and all who treasure our oceans.","['N_1', 'N_2', 'N_5']","['C_11_0', 'C_1_2', 'C_25_3', ‘C_30_0’, ’C_16_0’]"
44,"Most elected officials joined O’Leary to speak out against the project, citing concerns over catastrophic oil spills and impact on the local economy.",['N_0'],['C_0_0']
45,"Duncan, who was appointed two months ago in wake of the resignation of Andrew Warner, asked Britton whether the large foundations for the wind turbines would impact groundwater.
Britton replied that the foundations may be 50 feet across and 20-30 feet deep. He said he was more concerned about runoff from haul roads and town roads.",['N_0'],['C_0_0']
46,"wind turbines are manufactured to withstand extreme conditions, but wear and tear is inevitable. turbine blades are coated in an epoxy resin that can erode at a rate of 137 pounds per year, per turbine, as the blades collide with rain, hail, birds, bats, and bugs. a third of this resin is comprised of bisphenol a (bpa), an endocrine disruptor particularly dangerous to children. whatever exposure risk the erosion of operating turbines pose, it is unreasonable to assume that the risk diminishes as these blades are sawed apart and stored in towns like sweetwater.","['N_1', 'N_2', 'N_8']","['C_1_1', 'C_3_0', 'C_9_0']"
47,"It has been a long, emotional struggle for people who are hauling water in to cook and bathe with after their perfectly good wells began clogging with black sediment after the wind farm companies began construction in Dover and Chatham township.
Fear of what the black shale, which is known to contain toxic heavy metals, is doing to the long-term health of them and their children has been incredibly stressful for families. Add to that having to haul water during cold winter months because the expensive water tank you bought is frozen.
All they want is answers and they are tired of being shoved from one level of government to the other to get them.","['N_2', 'N_5', 'N_8']","['C_30_0', 'C_3_0', 'C_9_0']"
48,"Innogy’s letter to BEIS says that market changes mean new projects require taller turbines to be economically viable. It adds: “Smaller turbines with lower tip heights and shorter blades, such as those proposed in the Carnedd Wen project, are being phased out by manufacturers and are unlikely to be available in the future”.",['N_0'],['C_0_0']
49,"a larger turbine produces more electricity and, thus, more revenue than a smaller turbine. size also helps reduce the costs of building and maintaining a wind farm because fewer turbines are required to produce a given amount of power. these qualities that reduce cost are an incentive for developers to use the largest turbines available to increase their ability to win auctions for offshore power supply. however, wind turbines will reach a point where greater size no longer makes economic sense.",['N_0'],['C_0_0']
50,"yet wind and solar are not resilient technologies. they’re also more expensive than fossil fuels, raising electricity prices for residents.
moreover, these costs wouldn’t reduce warming. even if puerto rico used no fossil fuels at all, starting now, this would make a difference of only 0.003 degrees celsius in 2100, according to government models.","['N_3', 'N_4']","['C_20_0', 'C_26_0', 'C_27_0', 'C_2_0']"
51,"remove import tariffs on energy technologies. the obama administration has operated in a way that forces the replacement of conventional energy sources with renewable energy sources. as arbitrary and economically unsound as this goal is, the administration counterintuitively is making renewable power more expensive by placing high tariffs on imported solar parts to protect u.s. manufacturers from foreign competition. protecting domestic manufacturers will only keep prices higher, ensuring that the technology is less competitive and reducing the incentives for domestic manufacturers to innovate and lower their costs. while the u.s. has antidumping provisions to protect against “unfairly low” prices, “antidumping laws are confusing and arbitrary, and in many instances merely allow american firms to secure punitive tariffs against competing importers where no unfair trade practices are involved. worse, these laws drive up the costs of imported components used by other american enterprises, making their products less competitive in world markets.”[5] the next administration should eliminate government-created market distortions that drive up costs for alternative energy sources and modernize antidumping laws to allow americans to take full advantage of the increasingly interconnected global economy.[6]",['N_0'],['C_0_0']
54,"james taylor, president of the heartland institute, said: “i am totally perplexed why dominion energy believes it can obtain public approval of its wind factory by concealing its plan for protection of the right whale. how can protection of the right whale qualify as ‘confidential business information’ when at the same time dominion is granted monopoly protection and a guaranteed rate of return on its assets?”","['N_1', 'N_6']","['C_1_0', 'C_1_2', 'C_32_2']"
55,"At a previous council meeting, Bowen and other Schoolfield Street residents protested the installation of the turbine because they felt they were not given enough warning or information before the council was ready to sign a deal with DDU Magnetics for a 50KW, 85-foot tall turbine.","[’N_2’, ’N_6’]","['C_15_0', 'C_5_0']"
56,"When Save Berkeley Vale (SBV) protesters gathered last week, around 180 people turned up and many criticised Next Generation and sister firm Ecotricity’s approach to dealing with their concerns.
Roger Stroud, SBV spokesman, suggested electricity boss Dale Vince “do the sensible, dignified and right thing and walk away”.
He added: “From the strength of feeling in the area and the large number of people who attended a hastily arranged event, how on earth does Mr Vince think he and his four 120-metre turbines is being a good neighbour to all of us?”
SBV has questioned the robustness of a survey which Ecotricity carried out in the area. They say it didn’t represent local people’s views.","['N_2', 'N_6']","['C_15_0', 'C_32_1', 'C_5_0']"
57,"Earlier this year Mr Davies called on the inquiry to be halted due to a technicality involving the United Nations meaning the hearing could end up being worthless.
The UN has raised the issue that there has not been any public consultation on the UK’s national renewable energy policy.
The UN Economic Commission for Europe, a body that rules on international conventions, found the UK Government had acted illegally by not allowing public participation in the formulation of the National Renewable Energy Action Plan.
Mr Davies says it called into question the legal validity of any further planning consent for all future windfarm developments – a move backed by former Montgomeryshire MP Lord Carlile.","['N_5', 'N_6']","['C_15_0', 'C_30_0']"
58,"A “local” petition that was used to back the controversial wind farm was said to have been hijacked by people from Doncaster, Dunfermline and Fraserburgh. Gray & Adams also has branches in Dunfermline and Doncaster. Opposition politicians have demanded the Government reconsiders its decision to approve the 22-turbine Creag Riabhach development because local support for the project was one of the main arguments considered by ministers before they gave permission for the project.","['N_2', 'N_6']","['C_15_0', 'C_32_3', 'C_32_5']"
59,"Carter said, “The wind turbine company, Helena Wind, provided no evidence, no comparable evidence, that their project would be worth for taxable value in the future what they project it would be.”
In its application, Helena Wind lists the total annual tax levy of the property as $705,660. The company wants 10 years in tax incentives starting in 2022, in the amount of $387,660 – almost 55 percent – per year. As a result, the net tax levy would be $318,000.","['N_3', 'N_6']","['C_21_0', ‘C_24_0', ‘C_32_1', 'C_32_2']"
61,"Pritchard estimates that two dozen landowners rejected lease offers for the Amazon project. Apex also had rejections, including one from farmer Tommy Harrell, who owns 450 acres in Perquimans. Harrell said he turned Apex down because the contract barred him from discussing the terms with anyone, he didn’t want restrictions on adding structures on his property in the future, and he just didn’t trust the company.","['N_2', 'N_6']","['C_14_0', 'C_32_2', 'C_32_5']"
62,"A really big item for the upcoming November election concerns property rights. This is currently a two-fold issue. One point is the industrial wind turbine concern. A few property owners want to use their property as they see fit to make money. But, on the other hand are the majority of property owners who are non-participating in the industrial wind turbine business. The non-participants will be forced to suffer the possible and or probable effects of ultra low frequency sound, audible noise, sun shadow flicker, strobing red lights at night, higher taxes, increased electric utility bills, encroachment on their property, decrease in property value, impaired vision of the rural landscape, loss of ability to build on their own property along with other trespasses. Industrial wind turbines will cause a loss of property rights on both sides of this issue. We have factual information to back up all of these items.","['N_2', 'N_3', 'N_8']","['C_11_0', 'C_13_0', 'C_14_0', 'C_20_0', 'C_21_0', 'C_22_0', 'C_6_0', 'C_7_0']"
63,"the obama administration recently published a
national strategy
to advance the offshore wind industry–developed jointly by the departments of energy and interior. the document notes that it is particularly important to ensure “efficiency, consistency and clarity in the regulatory process” for offshore wind, which is managed by
the bureau of ocean energy management at the interior department. the report suggests establishing more predictable review timelines and maintaining a reasonable level of flexibility given the early stage of the industry’s development.[iv]",['N_0'],['C_0_0']
64,"that’s why michigan, california, new york and illinois have already enacted laws that give state bureaucrats authority over land use – the ability to exercise eminent domain and other powers over local governments that want to slow or stop the onrush of enormous, heavily subsidized industrial wind, solar, transmission line and other “green” projects. more are likely to follow – depriving rural communities of their rights, property values and autonomy – to serve corporate interests that bankroll democrat pols.","['N_2', 'N_3', 'N_5', 'N_6']","['C_13_0', 'C_14_0', 'C_22_0', 'C_24_0', 'C_31_0', 'C_33_0']"
65,"well, the transition’s not happening. it’s not working. i’m talking to you from mudgee, james. well, we’ve been talking to local farmers and landowners in and around the area, such as wellington, where there’s these wind turbines and solar panels that are dividing the community. they’re ruining prime agricultural farmland, which is a threat to our food security. it’s pitted neighbour against neighbour. we’ve heard from locals about how these rapacious renewable energy companies are coming onto their land without permission. they’re given false information under false pretences. amy needs to come out here and to other parts of regional australia that are bearing the brunt of the so-called energy transition.","['N_2', 'N_3', 'N_6']","['C_17_2', 'C_25_2', 'C_32_5']"
66,"While local views of the proposed location for Cape Wind were a popular subject of comments, the view from West Virginia homes was raised by a handful of speakers who traveled from that state to testify.
“I’m here representing the people of Appalachia,” said Chuck Nelson, from Boone County, W.Va. “You know I used to like the view from my backyard but it’s been blown up.”
Nelson and other miners, who teamed up with the pro-Cape Wind group, Clean Power Now, said that mountain removal in the South was the alternative to renewable energy.
“Our entire mountain culture is being sacrificed for our so-called cheap energy,” Nelson said.
While most speakers sympathized with Nelson and his fellow miners, the Cape and Islands’ own culture was at stake, they said.",['N_2'],['C_17_0']
67,"Opposition veterans affairs spokeswoman Amanda Rishworth said Mr Turnbull needed to seek “clarification” on the wind farm proposal.
“If these reports are accurate they are incredibly concerning because it does have the possibility of disturbing the unmarked graves of many soldiers,” she told Sky News.
“This is a really significant site in Australia’s World War 1 history and I know that many family members and concerned Australian citizens are concerned at the fact that these unmarked graves and these sacred places these men now lie could possibly be disturbed.”",['N_2'],['C_17_1']
68,"In the meantime the wind turbines churn noisily, threatening the health, property values and spirit of an island community. It takes a lot of “greenwashing” to ignore what is happening to property owners near the wind turbines. DEP staff – only months ago—recommended that Fox Islands Wind reach out to neighbors to discuss legitimate grievances and options. The noise continues but FIW is silent.","['N_2', 'N_6', 'N_8']","['C_13_0', 'C_15_0', 'C_17_0', 'C_32_3', 'C_6_0']"
69,"The feels that the potential benefits justifying this construction do not compensate the institutional damage that would cause the change of the zoning, to allow a project of an industrial character in an area classified as a “hotel zone” in Polygon 5 of the Punta Cana-El Macao Tourism Development region, the country’s and the Caribbean’s largest.",['N_0'],['C_0_0']
70,"In a lengthy article published in this weekend’s edition of the Irish Field, Ms O’Brien writes: “The scale of the threat to heartland Irish industries such as bloodstock, tourism and agriculture and to all electricity bill payers from yet more costly, subsidised wind farms, and pylon blight from excessive wind farm development in Ireland is only just revealing itself.”","['N_2', 'N_3']","['C_11_0', 'C_20_0', 'C_24_0', 'C_25_0', 'C_25_1', 'C_25_2']"
71,"The National Hotels and Restaurants Association (ASONAHORES) demanded the respect of the territorial zoning in the tourism regions and suggested looking for another location for the wind energy park whose construction was begun in an area declared a hotel development zone in Punta Cana.
The organization feels that the “respect of the tourism territorial zoning is fundamental to assure the development and maintain the country as an attractive investment destination.”","['N_2', 'N_5']","['C_25_1', 'C_29_0', 'C_31_0']"
72,"contrary to gullible media exaggerations, capital costs for offshore wind have not fallen, and the sites are not economic at the recently announced prices. the developers are just gambling on the small chance of very high fossil fuel prices in the near future, or more likely on a high carbon price.”",['N_3'],['C_27_0']
74,"Two Wilmington groups representing low-income residents took opposing views. The Peoples’ Settlement, a social service organization, submitted a letter to the public advocate’s office arguing that the plan risked raising electricity bills beyond an acceptable level for low-income residents.
The state should reject the offshore wind farm in favor of buying renewable power on the open market, wrote the organization’s executive director, Keith Lake.","['N_2', 'N_3']","['C_19_0', 'C_20_0', 'C_28_0']"
75,"It also calls for a package of reforms, which includes moves to improve coordination on new infrastructure that could save £3-£6 billion by 2050, warning that the current rules were likely to increase energy bills.
Funding from the wealth fund should pay for upgrades to community facilities, enhancing local services and improving people’s skills in the area, with a typical one gigawatt (1GW) offshore wind farm providing around £2 million a year to local projects for the first 15 years.",['N_0'],['C_0_0']
76,"Outside studies conducted for Delmarva Power estimate that $17 to $22 would be added to every residential and small business customer’s electric bill every month to finance the project. Larger commercial and industrial clients, which represent most – about 70 percent – of the utility’s delivery, would not be affected. The rates only apply to Delaware customers.",['N_3'],['C_20_0']
77,"germany’s nuclear exit signaled its growing weakness as it shifted away from cultivating greater energy independence. the nation has transitioned from relying on russia for its natural gas to relying on china for solar panels and wind turbines. ninety-five percent of the solar cells in germany are manufactured in china. in addition, more than 50% of the raw materials used to construct wind turbines are sourced from china.
this past july, the german bundestag passed the onshore wind energy act to ramp up the construction of wind turbines across the country. germany’s green technology policies are only driving the country into the hands of china—and its reliance on wind is raising the price of electricity and slowing the economy.","['N_3', 'N_7']","['C_20_0', 'C_37_0', 'C_38_0']"
