corpus,id,text,labels,labels_final
cards_single,1245,"But the real worry with climate research is that it is on the very edge of what is called postmodern science. This is a counterpart of the relativist world of postmodern art and design. It is a much more dangerous beast, whose results are valid only in the context of societys beliefs and where the very existence of scientific truth can be denied. Postmodern science envisages a sort of political nirvana in which scientific theory and results can be consciously and legitimately manipulated to suit either the dictates of political correctness or the policies of the government of theday.",['5_2_5'],['5_2_5']
cards_single,1247,"There is little doubt that some players in the climate game not a lot, but enough to have severely damaged the reputation of climate scientists in general have stepped across the boundary into postmodern science. The Climategate scandal of 2009, wherein thousands of emails were leaked from the Climate Research Unit of the University of East Anglia in England, showed that certain senior members of the research community were, and presumably still are, quite capable of deliberately selecting data in order to overstate the evidence for dangerous climate change. The emails showed as well that these senior members were quite happy to discuss ways and means of controlling the research journals so as to deny publication of any material that goes against the orthodox dogma. The ways and means included the sacking of recalcitrant editors.",['5_2_5'],['5_2_5']
cards_single,1249,"Climate science has transformed itself from a research backwater a few decades ago into one of the greatest public-good scientific cash cows ever devised. In Australia, for instance, there is a separate federal Department of Climate Change and Energy Efficiency specifically devoted to implementing (buying?) the social change required to limit global warming. The livelihood of many of the climate scientists within the CSIRO and elsewhere is now dependent on grants from that department. It is not a situation conducive to sceptical outlook and balanced advice. When a tendency toward postmodern science is mixed with a single, generous and undoubtedly biased source of money, it is not surprising that things can go very wrong very quickly.",['5_2_0'],['5_2_0']
cards_single,1252,"As one organisation after another jumps, or is pushed, into producing public assessments of the climate change issue, we see the same small group of activist-scientists in the background. We see them providing briefings to federal and state politicians. We see them as primary advisers to supposedly independent organisations such as the Australian Academy of Science. We see them involved in programs to introduce school children to the dangers of a carbon footprint. Generally we see them in what agricultural science used to call extension activities although in the case of climate change much of the extension effort is devoted to convincing the various audiences that there is indeed a problem worth doing something about.",['5_2_0'],['5_2_0']
cards_single,1253,No doubt these scientists genuinely believe in their own perception of the climate change story. But why do mainstream scientists go along with the inevitable overstatement associated with the activism business?,['5_2_0'],['5_2_0']
cards_single,1254,"One factor is a form of loyalty to colleagues. Another, bearing in mind the singular nature of the funding source, is the need to eat. But mostly it gets back to the uncertainty of the science. The typical climate researcher is reluctant to go public with contrary opinion not backed by something very close to real proof.And there is very little real proof on either side of the climatechange story. Contrary opinion in an era where postmodern science is almost respectable can be dangerous to a research career.",['5_1_0'],['5_1_0']
cards_single,1284,In my view this comment exemplifies a problematic attitude not only in climate science but in the social sciences as well. The good cause which allegedly motivates much of the research puts the researcher in a special position. It allows them to dispense with essential standards of professional conduct. It is perhaps not remarkable that we see a leading figure in the philosophy of science defend questionable practices which have been modelled (not by accident I suppose) after the famous climategate affair.,['5_2_5'],['5_2_5']
cards_single,1288,"Last year, I encountered a stark example of this. One of my colleagues was thinking about publishing a paper that challenges the IPCC interpretation of the previous pause during the 1940s to 1970s. My colleague sent a .ppt presentation on this topic to three colleagues, each of whom is a very respected senior scientist and none of whom have been particularly vocal advocates on the subject of climate change (names are withheld to protect the guilty/innocent). Each of these scientists strongly encouraged my colleague NOT to publish this paper, since it would only provide fodder for the skeptics. (Note: my colleague has not yet written this paper, but not because he was discouraged by these colleagues).",['5_2_5'],['5_2_5']
cards_single,1291,"Gleicks integrity seems to have nothing to do with scientific integrity, but rather loyalty to and consistency with what I have called the UNFCCC/IPCC ideology .",['5_2_5'],['5_2_5']
cards_single,1292,"When Heartlandgate first broke, I saw no parallels with Climategate. Now, with the involvement of Gleick, there most certainly are parallels. There is the common theme of climate scientists compromising personal and professional ethics, integrity, and responsibility, all in the interests of a cause.",['5_2_5'],['5_2_5']
cards_single,1297,"Were just hardworking scientists doing their best to address the impossible expectations of the policy makers? Well, many of them were. However, at the heart of the IPCC is a cadre of scientists whose careers have been made by the IPCC. These scientists have used the IPCC to jump the normal meritocracy process by which scientists achieve influence over the politics of science and policy. Not only has this brought some relatively unknown, inexperienced and possibly dubious people into positions of influence, but these people become vested in protecting the IPCC, which has become central to their own career and legitimizes playing power politics with their expertise.",['5_2_5'],['5_2_5']
cards_single,1298,"When I refer to the IPCC dogma, it is the religious importance that the IPCC holds for this cadre of scientists; they will tolerate no dissent, and seek to trample and discredit anyone who challenges the IPCC. Some are mid to late career middle ranking scientists who have done ok in terms of the academic meritocracy. Others were still graduate students when they were appointed as lead authors for the IPCC. These scientists have used to IPCC to gain a seat at the big tables where they can play power politics with the collective expertise of the IPCC, to obtain personal publicity, and to advance their careers. This advancement of their careers is done with the complicity of the professional societies and the institutions that fund science. Eager for the publicity, high impact journals such as Nature, Science, and PNAS frequently publish sensational but dubious papers that support the climate alarm narrative.",['5_2_5'],['5_2_5']
cards_single,1299,"Especially in the renascent subfields such as ecology and public health, these publications and the media attention help steer money in the direction of these scientists, which buys them loyalty from their institutions, who appreciate the publicity and the dollars.",['5_2_5'],['5_2_5']
cards_single,1301,"So do I think IPCC scientists are policy advocates? They seem mainly concerned with preserving the importance of the IPCC, which has become central to their professional success, funding, and influence. Most dont understand the policy process or the policy specifics; they view the policy as part an parcel of the IPCC dogma that must be protected and preserved at all cost, else their success, funding and influence will be in jeopardy.",['5_2_5'],['5_2_5']
cards_single,1306,"The issue of loyalty to colleagues came starkly to the forefront in response the release of the Climategate emails. I was criticized for my early essays by colleagues because talking about even the broad issues of uncertainty, transparency, losing trust etc was viewed as insensitive to the feelings of the individual scientists involved (and not helping the cause). Jerry North stated publicly that he would not read the emails out of respect for the scientistists involved.",['5_2_5'],['5_2_5']
cards_single,1307,"This issue was made very explicit by the title of the Scientific American article entitled Climate Heretic: Judith Curry turns against her Colleagues . Of all the issues raised by Climategate and the points I had been trying to make about overconfidence and uncertainty, transparency, engaging with skeptics, etc., the main issue of interest in all this was construed as me turning against my colleagues? It was hard for me to understand this at first, but then I realized that by talking about uncertainty and engaging with skeptics that I was following the playbook according to the merchants of doubt meme. So talking about topics that I regarded as efforts that were needed to rebuild the credibility of climate science was regarded by my colleagues as damaging to the consensus.",['5_2_5'],['5_2_5']
cards_single,1308,"Early on in my statements about Climategate, I became aware that my statements were looked upon very unfavorably by some scientists, particularly those that were vocal advocates of the IPCC and UNFCCC policies. As an example, Peter Webster related a conversation at a professional meeting in 2010 with a young scientist who said something like: You know, Judy is REALLY unpopular among the scientists at lab. Im not sure, but I think she might be right. I can say that to you but of course I wouldnt dare say that at the lab.",['5_2_0'],['5_2_0']
cards_single,1312,"My ostracism from the IPCC advocacy tribe has been noted by other scientists that are quietly sympathetic to my position. As an example, several years ago at a conference, one of the speakers was quite critical of one piece of the conventional IPCC wisdom, but prefaced the talk with the statement something like this: While my talk contains some evidence that challenges some of the findings of the IPCC, I want to state up front that I support the IPCC consensus on climate change. After the talk, I asked this scientist why he felt the need to preface his talk with a statement of IPCC allegiance, when his research was rather devastating to part of the IPCCs argument. He stated I dont want to have to put up with what you have had to, so I make it very clear that I support the IPCC consensus.",['5_2_5'],['5_2_5']
cards_single,1315,"My treatment at the hands of the consensus police has apparently discouraged some other scientists from publicly following suit. On the other hand, perhaps I have helped to pave the way for the emergence of a Tamsin Edwards . It will be interesting to see how all this plays out. And all this is why I regard the institutionalization of climate tribalism such as evidenced by the recent AGU statement on climate change to be so pernicious to the field of climate science.",['5_2_5'],['5_2_5']
cards_single,1336,"Personally, I have felt the need to break loose of the shackles of loyalty to colleagues and institutions if it comes at the expense of integrity in science and professional conduct. I envy Richard Muller who comes at the issue of climate science without the baggage associated with loyalty to colleagues or institutions in the climate field; rather his colleagues are a very elite group of physicists. Mullers approach of securing private funding and publishing his papers first on the internet has allowed him to avoid the schackles that I rather uncomfortably had to break away from. Private funding, the internet, and the emergence of scientists from outside the traditional community (not just Mullers team but also Steve McIntyre, Nic Lewis etc.) bodes well for improving the integrity of climate science in the 21st century and diminishing the effectiveness of the consensus police.",['5_2_5'],['5_2_5']
cards_single,1337,"But I am hoping this essay will promote some self reflection among climate scientists regarding their own ethical conflicts and values. Unfortunately, I suspect this essay will also trigger a backlash from the consensus police (absence of such a backlash would help disprove my thesis ha ha), but I am pretty much immune to all that at this point.",['5_2_5'],['5_2_5']
cards_single,1375,Goklany: How Fossil Fuels Save Humanity from Nature and Nature from Humanity,['4_6_0'],['4_5_0']
cards_single,1376,"Until the last quarter of a millennium, mankind depended on living nature for all its food and clothing, most of its energy, and much of its material and medicines. Then mankind began to develop technologies to augment or displace living natures uncertain bounty. In a new study, author Indur Goklany shows how fossil fuels not only saved humanity from natures whims, but nature from humanitys demands.",['4_6_0'],['4_5_0']
cards_single,1431,"The letter goes on to preach the tired environmental-activist mantra listing the results of mans sinful actions like hottest year on record (for less than two-percent of the Earth), wildfires, droughts, and public health outbreaks (all unfortunate but not too atypical).",['5_2_4'],['5_2_4']
cards_single,1432,"The sin of course is modern human activity in prosperous nations. You know, the kind of sinful activity that has lifted so many out of poverty, protected them from never-ending unusual weather events, and dramatically contributed to healthy living.",['1_7_0'],['1_7_0']
cards_single,1434,"?There is no scientific consensus? on sea-level rise, say scientists",['5_1_1'],['5_1_1']
cards_single,1436,"There isnt enough data to say with any certainty what will happen to sea levels around the world this century, and there is no scientific consensus to suggest that the rate of the seas rise will accelerate dangerously.",['5_1_1'],['5_1_1']
cards_single,1482,"I can see weather each day, but Smithsonian scientists seem to have the unique ability to see climate change. I like the Smithsonian when it sticks to its purpose as a natural history museum. But, with the government dumping billions into climate change and each element of the government coming up with its own climate agenda, what can you expect? You expand climate change outside just science and get on with the propaganda.",['5_2_0'],['5_2_0']
cards_single,1484,"Knappenberger and Michaels quantify the mismatch between models and observations. From Cato at Liberty, AGU 2014: Quantifying the Mismatch between Climate Projections and Observations",['5_1_4'],['5_1_4']
cards_single,1487,AGU 2014: Quantifying the Mismatch between Climate Projections and Observations,['5_1_4'],['5_1_4']
cards_single,149,"Mercer did find significant risk though, but it was primarily due to possible governmental climate change policies that may induce economic and investment havoc.",['4_1_0'],['4_1_0']
cards_single,1491,"Pat Michaels is in San Francisco this week attending the annual meeting of the American Geophysical Union (AGU) and presenting a poster detailing the widening mismatch between observations of the earths temperature and climate model projections of its behavior. Since most global warming concern (including that behind regulatory action) stems from the projections of climate models as to how the earths temperature will evolve as we emit greenhouse gases into the atmosphere (as a result of burning fossil fuels to produce energy), it is important to keep a tab on how the model projections are faring when compared with reality. That they are faring not very well should be more widely knownPat will spread the word while there.",['5_1_4'],['5_1_4']
cards_single,1493,Quantifying the Lack of Consistency between Climate Model Projections and Observations of the Evolution of the Earths Average Surface Temperature since the Mid-20 th Century,['5_1_4'],['5_1_4']
cards_single,1498,"To the extent that the recent literature produces a more accurate estimate of the equilibrium climate sensitivity than does the climate model average, it means that the projections of future climate change given by both the IPCC and NCA are, by default, some 40% too large (too rapid) and the associated (and described) impacts are gross overestimates.",['5_1_0'],['5_1_0']
cards_single,150,"""limate policy could contribute as much as 10% to overall portfolio risk: Uncertainty around climate policy is a significant source of portfolio risk for institutional investors to manage over the next 20 years. The economic cost of climate policy for the market to absorb is estimated to amount to as much as approximately $8 trillion cumulatively, by 2030.""",['4_1_1'],['4_1_1']
cards_single,1500,"A quantitative test of climate model performance can be made by comparing the range of model projections against observations of the evolution of the global average surface temperature since the mid-20 th century. Here, we perform such a comparison on a collection of 108 model runs comprising the ensemble used in the IPCCs 5th Scientific Assessment and find that the observed global average temperature evolution for trend lengths (with a few exceptions) since 1980 is less than 97.5% of the model distribution, meaning that the observed trends are significantly different from the average trend simulated by climate models. For periods approaching 40 years in length, the observed trend lies outside of (below) the range that includes 95% of all climate model simulations.",['5_1_4'],['5_1_4']
cards_single,1504,"We conclude that at the global scale, this suite of climate models has failed. Treating them as mathematical hypotheses, which they are, means that it is the duty of scientists to reject their predictions in lieu of those with a lower climate sensitivity.",['5_1_4'],['5_1_4']
cards_single,1505,"It is impossible to present reliable future projections from a collection of climate models which generally cannot simulate observed change. As a consequence, we recommend that unless/until the collection of climate models can be demonstrated to accurately capture observed characteristics of known climate changes, policymakers should avoid basing any decisions upon projections made from them. Further, those policies which have already be established using projections from these climate models should be revisited. Assessments which suffer from the inclusion of unreliable climate model projections include those produced by the IPCC and the U.S. Global Climate Change Research Program (including their most recent National Climate Assessment). Policies which are based upon such assessments include those established by the U.S. Environmental Protection Agency pertaining to the regulation of greenhouse gas emissions under the Clean Air Act.",['5_1_4'],['5_1_4']
cards_single,151,"Sooo, the real risk derives from the ruling class, idiot-elites who authored the recent global financial meltdown, are in the process of destroying the states of California, Illinois and New York, and are driving the U.S. economic machine into a banana republic destitute condition of galactic-sized debt. The good news is that expert firms like Mercer are warning the public where the real risk comes from - your elected officials and overpaid bureaucrats, not the climate.",['4_1_1'],['4_1_1']
cards_single,153,Official Fake Temperatures By Climate Agencies: The Temperature Fabrication Issue Bigger Than Thought,['5_1_3'],['5_1_3']
cards_single,1552,"Just two weeks ago, however, Huntsman delivered the keynote address at the annual dinner of the Republicans for Environmental Protection, which my web site JunkScience.com, protested as RINOs for EPA Protection. REP, after all, has been defending the EPA in response to Congressional GOP efforts to rein in the out-of-control agency.",['5_2_3'],['5_2_3']
cards_single,1559,"Next, there is the recently-delayed but still-on-track EPA effort to further tighten air quality standards for ozone. As perhaps the most expensive EPA rule ever, it threatens to kill 7+ million jobs by 2020 and cost $1 trillion per year in compliance between 2020 and 2030.",['4_1_0'],['4_1_0']
cards_single,156,"Recent examinations by analysts Paul Homewood, Tony Heller and others confirm that a wide variety of official temperature datasets have been excessively manipulated by climate ""scientists"" - to the point where policymakers can no longer be sure if climate records can be trusted.",['5_1_3'],['5_1_3']
cards_single,1563,"Sure keeping taxes as low as possible and limiting government spending are important, but without economic growth which the EPA is blocking neither will be enough to rescue our economy or our country from financial disaster.",['4_1_0'],['4_1_0']
cards_single,157,"The blatant temperature manipulation perpetrated on the public has been, for the most part, an esoteric issue discussed by individuals familiar with temperature record analyses. (Peer reviewed research indicates that the fake-warming likely represents 25 to 50% of reported global warming by the climate agencies.)",['5_1_3'],['5_1_3']
cards_single,158,"In the past, the mainstream press essentially ignored the anti-science temperature record fabrications, but no longer .",['5_1_3'],['5_1_3']
cards_single,161,"Indeed, the preponderance of evidence from the officially manipulated temperature datasets indicates fabricated cooling adjustments being applied to periods pre-1980 and a fabricated warming since 1980.",['5_1_3'],['5_1_3']
cards_single,162,"Examples of documented questionable climate record adjusting by the climate agency officials are not hard to find: Melbourne , U.S. western areas , 1997 global versus 2014 , winter 2014 , U.S corn belt , Texas winter temps , Paraguay , Africa , Iceland , GISS land temps , northern hemisphere pre-1940 , Alice Springs (Australia) , Bolivia , U.S. temperature trends , Arctic adjustments , Antarctica , New Zealand , Australia , Germany , and many others .",['5_1_0'],['5_1_0']
cards_single,1621,"At some point Dr. Mann crossed the line from scientist solely in pursuit of truth to activist with a book to sell. The books title is illuminating: The Hockey Stick and the Climate Wars: Dispatches from the Front Lines. Activists go to war, scientists do not. Through Twitter, he links to liberal websites touting President Obamas electoral prospects as evidence of his perceived persecution. And in one of the Climategate II emails he wrote he gave up on another scientist because she was not firmly committed enough to the cause. But Dr. Manns cause, whether it be selling books, preserving his professional reputation, or obtaining more government funding, is not purely science. And the Virginia Supreme Court shouldnt make us just trust him.",['5_2_5'],['5_2_5']
cards_single,1628,"But when the model predictions are tested against the latest high-quality data from our best instruments, they are seen to have comprehensively failed.",['5_1_4'],['5_1_4']
cards_single,1629,"For example, the models predicted increasing global air temperatures (the measured rises have been much less than predicted), increasing ocean temperatures (there has been no change since 2003, when we started measuring it properly with Argo ocean-diving buoys) and the presence of a hot spot caused by humidity and cloud feedback at heights of 8km-12km in the tropical atmosphere (entirely absent).",['5_1_4'],['5_1_4']
cards_single,163,"The net effect of the joint cooling and warming adjustments appears to be two-fold in support of the UN/IPCC political science political ""science"" agenda.",['5_3_0'],['5_3_0']
cards_single,1631,"Finding that the estimated historic increase in carbon dioxide was not enough to cause dangerous warming on its own, the modellers guessed that atmospheric water vapour would amplify, by a factor of three, any initial carbon dioxide-forced warming.",['5_1_4'],['5_1_4']
cards_single,1632,That this assumed amplification is present in the models but not in reality explains why the models consistently overestimate recent warming.,['5_1_4'],['5_1_4']
cards_single,165,One of the unintended and humorous consequences of climate record fabrications has been the nonsensical and irrational explanations as to why enhanced global warming is producing colder and more severe winters. The faux-warming has now necessitated the fabrication of new global warming capabilities that are entirely inconsistent with known weather physics and history.,['5_3_2'],['5_3_2']
cards_single,1659,A REPORT warning of increasing heatwaves across western Sydney fails to account for wide variations in temperatures recorded in different parts of the city and over time.,['1_7_0'],['1_7_0']
cards_single,1664,Our analysis shows that fewer extremely hot days were recorded over the past five years at both Observatory Hill and Parramatta than in the preceding five years of observation or the five years before that.,['1_7_0'],['1_7_0']
cards_single,168,"Unfortunately, the anti-science of climate science will continue since it appears to be prerequisite of research funding - in simple words, scientists are forced to support the consensus green political agenda in order to survive and thrive.",['5_3_2'],['5_3_2']
cards_single,1719,"Following a press release from the World Meteorological Society , a regular commentator at this blog Sid Reynolds questioned whether the WMO has infra-red rose coloured glasses and can only see when warm records are broken, having previously listed an impressive slew of recent record breaking cold events.",['5_2_5'],['5_2_5']
cards_single,172,Another Example of Climate Model Failure: Actual Ozone In Wealthy Countries Does Exact Opposite of Predictions,['5_1_4'],['5_1_4']
cards_single,1721,There is a perception that the climate change story selects record breaking events to suit its argument and ignores the cold extremes.,['5_2_0'],['5_2_0']
cards_single,1789,"The Houston Chronicle editorial page is one of the most biased in the nation when it comes to climate alarmism and associated public-policy activism. And it maintained that unenviable reputation with last Sundays op-ed, Cap-and-Trade-Off .",['5_2_2'],['5_2_2']
cards_single,1794,"In fact, as I told several members of the the editorial board in person a few weeks ago, and as first posted here at MasterResource, the global impact even assuming a perfect Waxman-Markey bill (a 83% emission reduction by 2050) would be less than one-tenth ofone degree Fahrenheit in that year . And that analysis, and the bills estimated substantial costs, have not been refuted . Pending further review, in fact, Waxman-Markey badly flunks conventional economic cost/benefit analysis.",['4_2_2'],['4_2_2']
cards_single,1800,I pay more and this is going to prevent global warming? Yeah right. Wrong bill at the wrong time for all of the wrong reasons.,['4_2_2'],['4_2_2']
cards_single,1803,"If the Chronicle editorial board wants to know the weaknesses in the scientific case for climate alarmism, several hours of concentrated effort is all that it will take. If the editorial board wants to understand how Waxman-Markey is very expensive regulation for its own sake, without appreciable benefits, that is there for the taking too.",['5_1_0'],['5_1_0']
cards_single,1812,"Figure 1: Vclav Klaus in Texas two weeks ago. Members of the U.S. Congress committees led by John Dingell (Dem) and Barbara Boxer (Dem) - OK, let's admit that the particular lawmakers are GOP members, to make the sentence more diverse - have decided to ask a European leader about her or his views on the climate change, before the hearings with Al Gore tomorrow. They chose Vclav Klaus. Incidentally, DPA (the German Press Agency) has included the term "" global-warming denier "" into its official vocabulary. Well, many of us will have to wear it proudly until the global-warming regime collapses later this year in the Second Velvet Revolution. ;-) See Environmentalism is the new communism The full answers of Klaus to their five questions are here: Written response to the House committee members ( backup ) Czech translation Update Video of Klaus' talk at CATO",['5_2_4'],['5_2_4']
cards_single,1850,Selling your soul for a narrative: understanding the Gleick fraud,['5_3_0'],['5_3_0']
cards_single,1854,"Within the green movement, Peter Gleick is a renowned environmental scientist specializing in the negative impact of global warming. He was elected to the National Academy of Sciences, co-founded the Pacific Institute, served as chairman of a task force on scientific ethics and integrity in the American Geophysical Union, and received a prestigious MacArthur Fellowship (aka genius grant) in anticipation of exceptional achievement in his field of research. Peter Gleick is also the self-admitted perpetrator of a recent fraud.",['5_3_2'],['5_3_2']
cards_single,1859,"In the mutli-decadal climate battle, organizations like Heartland have only recently erected a forum for scientists who do not embrace catastrophism, so that they may present their results and bypass what had been a media blackout. The initial, hockey-stick phase of the catastrophists response, while making use of tangential slurs about their opponents purportedly corrupt motivation, consisted largely in attempts at scientific counter-argument.",['5_3_0'],['5_3_0']
cards_single,1962,"The mere presence of environmental activists undermines the integrity of scientific endeavours. Yet the Intergovernmental Panel on Climate Change has long embraced Greenpeace personnel. Read the rest here . This blog has relocated . You can sign up to receive an e-mail each time a new post is added under the ""Email subscription"" bar a little below the photo.NoFrakkingConsensus now has a Facebook page. .",['5_2_0'],['5_2_0']
cards_single,1987,"The patterns of warming and cooling in Iceland were not always well correlated with similar changes in NW Europe, indeed often the opposite. This automatically renders any attempt to homogenise Icelandic temperature data with stations hundreds of miles away in NW Europe utterly meaningless.",['5_1_3'],['5_1_3']
cards_single,2021,"So what has gone wrong with the GHCN system? There is no evidence at all that the Icelandic temperature record is not robust, or, indeed, the Greenland data that correlates well to it. Even the BEST series bears this out. ( See here). As the Icelandic stations are well correlated with each other, the adjustments can only have been generated by comparing with other stations hundreds of miles away in Europe, where it has already been proven that temperature trends can be totally different. But really this is an issue for GHCN to resolve, not me.",['5_1_3'],['5_1_3']
cards_single,2022,"As a public body, NCDC have a duty to be accountable for all of their work, as well as to be totally transparent. They have been aware of this issue now since January, and it is surely time for them to step up to the plate and either explain how their adjustments are correct, or withdraw them. Furthermore, they must fully investigate all other significant adjustments elsewhere and withdraw them where they cannot be fully substantiated. I would also suggest they ask themselves why these clearly incorrect adjustments were not identified and put right at the very outset. It should not be up to independent observers to be doing this for them.",['5_1_3'],['5_1_3']
cards_single,2023,"I frankly find it immensely sad that, not only real events, but also the work and knowledge of serious scientists, accumulated over many years, can apparently be swept aside at the whim of an algorithm. Computer models can have their value, but we surely need to keep an eye on whats happening in the real world.",['5_1_3'],['5_1_3']
cards_single,2060,"Germany has hardly beenimmune to the insanity. Its 130 billion in renewable energy investment will theoretically postpone global warming a whole 23 hours, read here . At that rate it would cost the world $4,745,000,000,000,000.00 (4.745 quadrillion) to delay global warming 100 years, provided the dubious theory were true. Thats a million dollars for every family on the planet (if I didnt lose or gain any zeros in that big number calculation).",['4_1_1'],['4_1_1']
cards_single,2082,Leading German scientists are now spreading fear among children at schools. Is this the indoctrination part of the Masterplan?,['5_2_5'],['5_2_5']
cards_single,2083,"German science used to be, and is in many areas,still highly regarded worldwide. But in the area of climate science, it has been reduced to politics and masterplanning .",['5_2_5'],['5_2_5']
cards_single,2084,"Sadly, Germanys leading climate scientistsare far more preoccupied with transforming society and spreading panic among the population then doing science. Spreading panic is a favourite practice of Stefan Rahmstorf who, like his director Hans Schellnhuber, is a scientist at the Potsdam Institute for Climate Research (PIK).",['5_2_5'],['5_2_5']
cards_single,2096,FACT: Global temperature has not risen at all in the last 10 years.,['1_4_0'],['1_4_0']
cards_single,2097,FACT: Tropical storm activity has been falling since the 1980s.,['1_7_0'],['1_7_0']
cards_single,2098,FACT: A huge number of scientists completely disagree with Rahmstorf.,['5_1_1'],['5_1_1']
cards_single,2099,"FACT: Rahmstorfs sea level projection is an extreme outlier, way out of the mainstream.",['1_6_0'],['1_6_0']
cards_single,2101,"After looking at the data, Ms Ameling might consider Rahmstorf as simply not a serious person who is irresponsiblyinserting fear into vulnerable young minds and doing a disservice to his country.",['5_2_5'],['5_2_5']
cards_single,2134,"In her view, the science as reported by the UN Intergovernmental Panel on Climate Change (IPCC) has institutionalized overconfidence. The overconfidence has resulted in disagreements based on: insufficient observational evidence; disagreement about the value of different classes of evidence (e.g. models); disagreement about the appropriate logical framework for linking and assessing the evidence; assessments of areas of ambiguity and ignorance; and belief polarization as a result of politicization of the science.",['5_1_0'],['5_1_0']
cards_single,2135,"To this list, SEPP would add that the IPCC and its parent organization, the UN Framework Convention on Climate Change (UNFCCC), have failed make it explicitly clear in every publication that their mission is not to understand all the influences on climate change, but purely the human one, thus ignoring major natural influences on climate change.",['5_2_0'],['5_2_0']
cards_single,2142,"Curry discusses major issues regarding the treatment of uncertainty, including that the often used Bayesian statistical methods, which have difficulty in dealing with true uncertainty, are subjective, and may lead to biased results.",['5_1_0'],['5_1_0']
cards_single,2145,"Thats the good news. The bad news is that the interface between climate science and policy remains badly broken. Many politicians seem to have become uncertainty deniers, with President Obama leading the pack. The UNFCCC/IPCC is on a collision course with reality; it will be interesting to see how the Paris meeting goes next Dec, and how the IPCC AR6 will proceed. But science seems less and less relevant to what is going on in the policy arena.",['5_2_3'],['5_2_3']
cards_single,2742,"The trend since 2001 remains just barely negative. The least squares trends since 2000, 1997, and even the nearly meaningless connect the dot trend from June 1997 to Jun 2009 are about 1.1C/century 1.2 C/century.",['1_4_0'],['1_4_0']
cards_single,2748,One of the numerous Goebbelian propaganda artifices deployed by the now-retreating climate extremist movement has been the careful avoidance of any debate with anyone on the skeptical side of the case who happens to know anything about climate science or economics.,['5_2_0'],['5_2_0']
cards_single,2756,"So unusual is this attempt actually to meet us in argument, and so venomously ad hominem are Abrahams artful puerilities, delivered in a nasal and irritatingly matey tone (at least we are spared his face he looks like an overcooked prawn) , that climate-extremist bloggers everywhere have circulated them and praised them to the warming skies.",['5_2_2'],['5_2_2']
cards_single,2827,"In 2011, Texas A&Ms Andrew Dessler announced that Texas was going to be hot and dry for the rest of the century based on a single data point.",['5_2_5'],['5_2_5']
