ID,Claim,Source,Date,Climate_Feedback,Climinator,Duplicated,Veracity
34,”The official observed temperatures are coming consistently below the scary global warming numbers”; ”Melting polar ice triggers ice age”,"Ben Davidson, Suspicious0bservers",27-May-21,Inaccurate,incorrect,FALSE,FALSE
35,Plugging this device into a car’s fuse box can reduce fuel consumption by at least 35% and up to 75% by converting the car into a hybrid.,"Anonymous, Christianity Today",05-May-21,Incorrect,unsupported,FALSE,FALSE
36,Biden’s climate plan limits meat consumption by 90%; “Biden’s climate plan could limit you to eat just one burger a MONTH”,"Emily Crane, Daily Mail",29-Apr-21,Inaccurate,incorrect,FALSE,FALSE
37,"There is no factual data to back up global warming; real scientists don’t know whether CO2, solar sunspots or natural activity cause global warming","Candace Owens, Charlie Kirk , Turning Point USA",16-Apr-21,Inaccurate,incorrect,FALSE,FALSE
38,”A third of Antarctic ice shelf risks collapse as our planet warms”,"Amy Woodyatt, CNN",16-Apr-21,Accurate,NEI,FALSE,TRUE
39,"”Deserts are heat producers, reflecting around 60% to 70% of the solar energy that falls on them straight back into the atmosphere.”; ”If we want to do something about global warming, we have to do something about deserts.”","Ties Van der Hoeven, Steve Rose, The Guardian",09-Apr-21,Inaccurate,misleading,FALSE,FALSE
40,"Wind turbines in the US are made of toxic materials that pollute the environment, are mostly built in Germany, and will not pay off their manufacturing costs within their lifetimes.","Internet User, Facebook",08-Apr-21,Inaccurate,incorrect,FALSE,FALSE
41,"”The intentional dimming of direct sunlight by aircraft dispersed particles, a form of global warming mitigation known as “Solar Radiation Management”, has and is causing catastrophic damage to the planet’s life support systems.”","Dane Wigington, Geoengineering Watch",25-Mar-21,Incorrect,unsupported,FALSE,FALSE
42,The rotating wheel of an electric vehicle can recharge the vehicle’s battery by affixing a generator,"Ozzy’s Classics, Facebook",15-Mar-21,Incorrect,flawed_reasoning,FALSE,FALSE
43,There exists a car that runs solely on water,"Anonymous, Gaia",15-Mar-21,Inaccurate,incorrect,FALSE,FALSE
44,”Government funded science: 70’s: another ice age in 10 years; 80’s: acid rain will destroy all crops in 10 years; 90’s: the ozone layer will be destroyed in 10 years; 2000’s the ice caps will be gone on 10 years”,"Facebook users, Facebook",03-Mar-21,Inaccurate,misleading,FALSE,FALSE
45,"HAARP may deliberately create destruction on a global scale, causing earthquakes, cyclones, flooding, snowstorms, around the world; HAARP may be attacking the citizens of the world telepathically, influencing thoughts with low frequency vibrations","Anonymous, Gaia",02-Mar-21,Incorrect,incorrect,FALSE,FALSE
46,Helicopters are using chemicals made from fossil fuels to defrost wind turbines; frosted wind turbines are responsible for blackouts in Texas; “the reason your power is/was out is wind energy’s fault.”,"Facebook users, Facebook",17-Feb-21,Inaccurate,misleading,FALSE,FALSE
47,"“The 58 year net gain of global temperature is zero. We are simply in a cyclical, normal ebb and flow of temperature.”","Facebook users, Facebook",05-Feb-21,Inaccurate,incorrect,FALSE,FALSE
48,"”climate models that attempt to predict the future temperature of the planet...don’t work. They haven’t worked in the past. They don’t work now.”; ”the number of factors that influence climate—the sun, the earth’s orbital properties, oceans, clouds, and, yes, industrial man—is huge and enormously variable”; ”CO2is a minor contributor to the warming of the earth”","William Happer, PragerU",27-Jan-21,Incorrect,incorrect,FALSE,FALSE
49,“there has not been a long-term distinctive change in sea level rise rates in the last 120 years”,"Pierre L. Gosselin, Kenneth Richard, NoTricksZone, Watts Up With That?",15-Jan-21,Inaccurate,incorrect,FALSE,FALSE
50,A young whizkid ... invented a device that cuts 50% off an average home’s power bill,"Anonymous, HOVERH",27-Dec-20,Inaccurate,NEI,FALSE,FALSE
51,“It’s a good thing that we are putting some more carbon dioxide in the atmosphere. The scientific method has not been applied in such a way as to prove that carbon dioxide is causing the Earth to warm.”,"Patrick Moore, Instagram",18-Dec-20,Incorrect,incorrect,FALSE,FALSE
52,“The clothing industry contributes up to 10% of the pollution driving the climate crisis.”,"Patagonia, Instagram",06-Dec-20,Accurate,accurate,FALSE,TRUE
53,“The Earth is not a globe. The Earth is stationary.”,"Amber Plaster, Flat Earth",27-Nov-20,Inaccurate,incorrect,FALSE,FALSE
54,“this is … a brush rake. It’s used for clearing underbrush and debris from the forest floor that builds up and creates fuel for wild fires. Now you can stop looking stupid trying to make fun of Trump telling California to rake the forest.”,"Facebook users, Facebook",04-Nov-20,Misleading,NEI,FALSE,MISLEADING
55,"“In 1950, there were around 10, 000 polar bears globally. Today, polar bear populations are near 39, 000. Polar bear populations are increasing dramatically as the planet has warmed.”","Andy Singer, Climate Realism, Heartland Institute",29-Oct-20,Misleading,misleading,FALSE,MISLEADING
56,“Amazon near tipping point of switching from rainforest to savannah”,"Fiona Harvey, The Guardian",14-Oct-20,Imprecise,mostly_correct,FALSE,MISLEADING
57,“Forest fires are caused by poor management. Not by climate change.”,"Anonymous, Facebook",16-Sep-20,Misleading,misleading,FALSE,MISLEADING
58,"a distressing number of the West coast fires are not accidents, and willful arson is the cause.","GlenMorgan, We The Governed",14-Sep-20,Inaccurate,unsupported,FALSE,FALSE
59,“Trees provide a solution to almost all environmental crises we’re facing. Trees reverse climate change by cleaning carbon from the air.”,"Pamela Anderson, 8 Billion Trees",25-Aug-20,Lacks_Context,misleading,FALSE,FALSE
60,”Global warming is driving polar bears toward extinction”,"Henry Fountain, The New York Times",27-Jul-20,Correct,mostly_correct,FALSE,TRUE
61,Greenhouse gases emitted into the ocean are causing more holes in the ozone layer ... “the ozone layer has holes in it causing global temperature to rise”,"Otis Holland, Instagram",21-Jul-20,Incorrect,incorrect,FALSE,FALSE
62,Surface air temperatures at the bottom of the world have risen three times faster than the global average since the 1990s.,"Henry Fountain, The New York Times",06-Jul-20,Accurate,NEI,FALSE,TRUE
63,"The scientific consensus on whether global warming is human caused is not 97 percent, it’s less than 1 percent. There is no way to measure the human impact on climate change.","Mark Mathis, Clear Energy Alliance",25-Jun-20,Incorrect,incorrect,FALSE,FALSE
64,"”The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists”","Chris Pollard, The Sun",20-May-20,Incorrect,incorrect,FALSE,FALSE
65,The polar bear population has been growing. Polar bears are thriving even where sea ice is diminishing.,"Anonymous, PragerU",18-May-20,Incorrect,misleading,FALSE,FALSE
66,The drop in NO2 content has only been “slight”. So it cannot be the evil diesel engine cars that are “choking” our cities.,"Holger Douglas, Tichys Einblick",02-May-20,Flawed_Reasoning,misleading,FALSE,MISLEADING
67,Global warming slowing down? ’Ironic’ study finds more CO2 has slightly cooled the planet,"Sebastian Kettley, Express",24-Apr-20,Imprecise,incorrect,FALSE,FALSE
68,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"Cole Ryan, I Love Carbon Dioxide",20-Apr-20,Incorrect,incorrect,FALSE,FALSE
69,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide. I hope my readers can recognize the absurdity of their claims. ... increasing sunspots are linked to increases in earth temperature,"Jay Lehr, CFACT",15-Apr-20,Incorrect,incorrect,FALSE,FALSE
70,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,"Michael Slezak and Penny Timms, ABC News",11-Apr-20,Accurate,correct,FALSE,TRUE
71,The ozone layer is healing,"Louise Boyle, The Independent",07-Apr-20,Mostly_Accurate,correct_but,FALSE,TRUE
72,The long-term tide gauge datasets are all in agreement that there is no acceleration,"Willis Eschenbach, Watts Up With That?",01-Apr-20,Inaccurate,incorrect,FALSE,FALSE
73,Deforestation has made humans more vulnerable to pandemics,"Lani Chan and Tom McKenna, Now This",01-Apr-20,Mostly_Accurate,correct,FALSE,TRUE
74,Historical data of temperature in the U. S. destroys global warming myth,"Cap Allon, Electroverse",24-Mar-20,Flawed_Reasoning,incorrect,FALSE,FALSE
75,"CO2 is a plant nutrient...it’s not a pollutant that threatens human civilization. If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.","Mike Adams, Natural News",19-Mar-20,Flawed_Reasoning,flawed_reasoning,FALSE,MISLEADING
76,"the IPCC is wrong – the sun, not CO2, drove modern global warming","Roger Higgs, Electroverse",18-Mar-20,Incorrect,incorrect,FALSE,FALSE
77,"Sea level rise has been slow and a constant, pre-dating industrialization","Thomas Lifson, American Thinker",12-Mar-20,Inaccurate,incorrect,FALSE,FALSE
78,90 percent of the world’s glaciers are growing.,"IceAgeNow, Principia Scientific International",26-Feb-20,Inaccurate,incorrect,FALSE,FALSE
79,Of course the climate is changing. It always has. It always will.,"Patrick Moore, PragerU",21-Feb-20,Misleading,correct_but,FALSE,MISLEADING
80,Scientists were caught ’adjusting’ sea level data to create false impression of rising oceans,"Vicki Batts, James Delingpole, Signs of the Times, Breitbart",20-Feb-20,Inaccurate,incorrect,FALSE,FALSE
81,"Using complex statistical models, NOAA changes the data to reflect not reality, but their underlying theories of global warming.","Anonymous, Investor’s Business Daily",19-Feb-20,Inaccurate,unsupported,FALSE,FALSE
82,Less than 5% of carbon dioxide emissions are produced by man ... they can’t cause 30% of today’s atmospheric carbon dioxide,"I&I Editorial Board, Issues & Insights",11-Feb-20,Misleading,incorrect,FALSE,MISLEADING
83,Earth about to enter 30-YEAR ‘Mini Ice Age’,"Harry Pettit, Sean Martin, The Sun, Express",06-Feb-20,Incorrect,incorrect,FALSE,FALSE
84,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming","Robert W. Felix, James Edward Kamis, IceAgeNow. info, PlateClimatology. com",20-Jan-20,Unsupported,incorrect,FALSE,FALSE
85,CO2 is not a greenhouse gas.,"Tim Ball, Technocracy. news",14-Jan-20,Inaccurate,incorrect,FALSE,FALSE
86,The idea that ’climate change’ is new or is caused by Humans is nonsense.,"Anonymous, Facebook",13-Jan-20,Incorrect,incorrect,FALSE,FALSE
87,"the bushfires in Australia were caused by arsonists and a series of lightning strikes, not ’climate change’","Sean Adl-Tabatabai, Thomas D. Williams, NewsPunch, Breitbart",08-Jan-20,Misleading,misleading,FALSE,MISLEADING
88,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"James Edward Kamis, Principia Scientific",03-Jan-20,Inaccurate,incorrect,FALSE,FALSE
89,Father of Global Warming’ Scientist Finally Admits Theory Is Wrong,"Baxter Dmitry, NewsPunch, Your News Wire, Principia Scientific",01-Jan-20,Inaccurate,incorrect,FALSE,FALSE
90,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,"Ethan Huff, Ecology. news",23-Dec-19,Inaccurate,incorrect,FALSE,FALSE
91,"Photo A little science lesson for the #idiotsattheglobalwarmingconference. Ice berg melts, ocean level remains the same.","Anonymous, Facebook",17-Dec-19,Incorrect,flawed_reasoning,FALSE,FALSE
92,When the exact same group of ’experts’ who claimed it was global cooling in 1977 now claim it’s global warming you can easily see why I am skeptical,"Anonymous, Facebook",16-Dec-19,Inaccurate,flawed_reasoning,FALSE,FALSE
93,A series of just-released studies by working-level scientists prove that geological and not atmospheric forces are responsible for melting of Earth’s polar ice sheets.,"James Edward Kamis, Climate Change Dispatch",22-Nov-19,Inaccurate,incorrect,FALSE,FALSE
94,Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"Stacy Liberatore, Chris Ciaccia, Daily Mail, Fox News",01-Nov-19,Incorrect,incorrect,FALSE,FALSE
95,"That one little burp by Mt. Etna has already put more than 10, 000 times the CO2 into the atmosphere than mankind has in our entire time on the Earth","Anonymous, Facebook post",31-Oct-19,Inaccurate,incorrect,FALSE,FALSE
96,500 Scientists Write U. N.: ‘There Is No Climate Emergency’.... More than 500 scientists and professionals in climate and related fields have sent a ’European Climate Declaration’ to the Secretary-General of the United Nations,"Thomas D. Williams, Breitbart",30-Oct-19,Misleading,unsupported,FALSE,MISLEADING
97,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0. 0 cm over the past 140 years.,"Anonymous, Facebook post",28-Oct-19,Inaccurate,incorrect,FALSE,FALSE
98,The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius,"Jonathan Franzen, The New Yorker",17-Sep-19,Incorrect,correct_but,FALSE,FALSE
99,"Human-produced carbon might be one of the factors of climate change, but there’s simply no evidence that it is a significant one.","Kurt Schlichter, Townhall",11-Sep-19,Incorrect,incorrect,FALSE,FALSE
100,"Peer-reviewed studies, geologic records, and all the studies have shown that we have actually cooled since the Roman Warming Period, and likely since the Medieval Warming Period.","Marc Morano, TFP Student Action",09-Sep-19,Inaccurate,incorrect,FALSE,FALSE
101,the U. S. Climate Reference Network… finds there has been no warming for the past 14 years at least,"James Taylor, John Hinderaker, WND, Powerlineblog, Real Clear Energy",06-Sep-19,Inaccurate,incorrect,FALSE,FALSE
102,"changes in the solar orbit of the earth, along with alterations to the earth’s axial tilt, are both responsible for what climate scientists today have dubbed as “warming”. In no way, shape, or form are humans warming or cooling the planet","Ethan Huff, Natural News",03-Sep-19,Incorrect,incorrect,FALSE,FALSE
103,"I am talking about the slaughter, death, and starvation of 6 billion people this century—that’s what the science predicts.","Roger Hallam, BBC News",22-Aug-19,Incorrect,incorrect,FALSE,FALSE
104,"I think about all the 194 countries that signed onto the Paris accord, the U. S. is the one that’s leading the world in reducing emissions","Rick Perry, Fox News",20-Aug-19,Misleading,misleading,FALSE,MISLEADING
105,"CO2 does not cause climate change, it RESPONDS to it ... temperature always changes first, and CO2 follows","Robert W. Felix, William Happer, Ice Age Now",14-Aug-19,Flawed_Reasoning,incorrect,FALSE,FALSE
106,"Based on the increase of solar activity during the twentieth century, it should account for between half to two-thirds of all climate change","Cap Allon, Nir Shaviv, Electroverse",13-Aug-19,Incorrect,incorrect,FALSE,FALSE
107,"The current solar minimum could last for more than three decades which could lead to temperatures plummeting across the globe, scientists have warned.","Sean Martin, Express",06-Aug-19,Incorrect,unsupported,FALSE,FALSE
108,"18 proxies tell us the world was the same or warmer 1, 000 years ago","Joanne Nova, joannenova. com. au",05-Aug-19,Inaccurate,misleading,FALSE,FALSE
109,"The raw data, the actual thermometer data... shows that the US has been cooling for 80 to 90 years. But the graphs they release to the public show warming trend, and it’s all because they’ve altered the data.","Tony Heller, EXOMATRIXTV",05-Aug-19,Inaccurate,incorrect,FALSE,FALSE
110,"Earth’s mean temperature over the last 2, 000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A. D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A. D.","Gregory Rummo, Townhall",26-Jul-19,Inaccurate,incorrect,FALSE,FALSE
111,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off","Alan Jones, Nils Axel-Mörner, Sky News Australia",18-Jul-19,Incorrect,incorrect,FALSE,FALSE
112,During the last hundred years the temperature is increased about 0. 1°C because of carbon dioxide. The human contribution was about 0. 01°C.,"Jyrki Kauppinen, Pekka Malmi, Paul Joseph Watson, Summit. news, Zerohedge",12-Jul-19,Incorrect,incorrect,FALSE,FALSE
113,"So that means that probably about half, maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases","Patrick Michaels, Fox News",09-Jul-19,Incorrect,misleading,FALSE,FALSE
114,"NASA has been adjusting temperatures from the past... downward, while adjusting current-day temperatures upward, and those changes are responsible for most of the claimed global warming during that time.","Tony Heller, James Murphy, The New American",01-Jul-19,Inaccurate,incorrect,FALSE,FALSE
115,New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars,"Anonymous, Zero Hedge, Infowars",24-Jun-19,Inaccurate,incorrect,FALSE,FALSE
116,The UN Admits That The Paris Climate Deal Was A Fraud,"Anonymous, Investor’s Business Daily",17-Jun-19,Unsupported,incorrect,FALSE,FALSE
117,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,"Internet users, Facebook",27-May-19,Inaccurate,incorrect,FALSE,FALSE
118,the concentration of carbon dioxide in Earth’s atmosphere has climbed to a level last seen more than 3 million years ago — before humans even appeared on the rocky ball we call home,"Denise Chow, NBC News",18-May-19,Accurate,correct,FALSE,TRUE
119,Fifty-five thousand years ago the whole world was 2°C warmer than it is today... It’s all cyclical; human-caused greenhouse gas emissions are not a fart in the wind. Sea level rise is not going to happen.,"Dan Peña, ”Ivanka_Trump” Facebook account",07-May-19,Flawed_Reasoning,incorrect,FALSE,FALSE
120,"Climate change is not happening, there is no significant man-made global warming now, there hasn’t been any in the past, and there’s no reason to expect any in the future.","John Coleman, Derek Utley",30-Apr-19,Incorrect,incorrect,FALSE,FALSE
121,"Cold weather to grip world as solar minimum to deepen, NASA says","Sean Martin, Express",24-Apr-19,Inaccurate,misleading,FALSE,FALSE
122,"One of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change ... poses a significant threat to the existence of the human race","Chris Enloe, The Blaze",29-Mar-19,Flawed_Reasoning,misleading,FALSE,MISLEADING
123,The models predicted about three times the amount of warming in the world we’ve seen since 1988.,"Caleb Rossiter, The Hill",11-Mar-19,Inaccurate,incorrect,FALSE,FALSE
124,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.","Senator Bernie Sanders, Facebook",08-Mar-19,Misleading,correct_but,FALSE,MISLEADING
125,Burping cows are more damaging to the climate than all the cars on this planet.,"Barclay’s, Financial Times",21-Feb-19,Lacks_Context,misleading,FALSE,MISLEADING
126,Sunspot activity on the surface of our star has dropped to a new low. It’s feared this could herald the arrival of a uniquely grim ‘mini Ice Age’.,"Jasper Hamill, Metro",20-Nov-18,Incorrect,incorrect,FALSE,FALSE
127,The rate of warming according to the data is much slower than the models used by the IPCC,"Myron Ebell, BBC Newsnight",09-Oct-18,Inaccurate,misleading,FALSE,FALSE
128,"The atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.","Ian Plimer, The Australian",11-Aug-18,Misleading,incorrect,FALSE,MISLEADING
129,there is no relationship between temperature and carbon dioxide emissions by humans... carbon dioxide has had a minuscule effect on global climate,"Ian Plimer, The Australian",11-Aug-18,Incorrect,incorrect,FALSE,FALSE
130,California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.,"President Donald Trump, Twitter",07-Aug-18,Inaccurate,unsupported,FALSE,FALSE
131,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2","Fred Singer, The Wall Street Journal",19-Jul-18,Incorrect,incorrect,FALSE,FALSE
132,There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,"Rush Limbaugh, The Rush Limbaugh Show",04-Apr-18,Inaccurate,incorrect,FALSE,FALSE
133,NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.,"James Delingpole, Breitbart",23-Feb-18,Unsupported,misleading,FALSE,FALSE
134,"We know that humans have most flourished during times of, what, warming trends. I think there are assumptions made that because the climate is warming, that that is necessarily a bad thing.","Scott Pruitt, KSNV NBC Las Vegas",09-Feb-18,Unsupported,misleading,FALSE,MISLEADING
135,"The ice caps were going to melt. They were going to be gone by now, but now they’re setting records","Donald Trump, ITV",29-Jan-18,Inaccurate,incorrect,FALSE,FALSE
136,the real atmosphere is less sensitive to CO2 than what has been forecast by climate models,"John Christy, The Daily Caller",01-Dec-17,Incorrect,incorrect,FALSE,FALSE
137,"unadjusted data suggests that temperatures in Australia have only increased by 0. 3 degrees over the past century, not the 1 degree usually claimed","Tony Abbott, Global Warming Policy Foundation",11-Oct-17,Inaccurate,incorrect,FALSE,FALSE
138,climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming ‘hiatus’,"James Barrett, The Daily Wire",22-Sep-17,Incorrect,misleading,FALSE,FALSE
139,Most of the recent warming could be natural,"Jennifer Marohasy, The Spectator",07-Sep-17,Incorrect,incorrect,FALSE,FALSE
140,climate scientists say that aspects of the case of Hurricane Harvey suggest global warming is making a bad situation worse.,"Robinson Meyer, The Atlantic",29-Aug-17,Mostly_Correct,correct,FALSE,TRUE
141,"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.","Nigel Lawson, BBC",10-Aug-17,Inaccurate,incorrect,FALSE,FALSE
142,"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined","Nigel Lawson, BBC",10-Aug-17,Inaccurate,incorrect,FALSE,FALSE
143,"Trump’s action could push the Earth over the brink, to become like Venus, with a temperature of two hundred and fifty degrees, and raining sulphuric acid.","Stephen Hawking, BBC",06-Jul-17,Incorrect,incorrect,FALSE,FALSE
144,Most likely the primary control knob on climate change is the ocean waters and this environment that we live in.,"Rick Perry, CNBC",20-Jun-17,Incorrect,misleading,FALSE,FALSE
145,’Global warming’ is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,"James Delingpole, Breitbart",08-Jun-17,Inaccurate,incorrect,FALSE,FALSE
146,Neither the rate nor the magnitude of the reported late twentieth century surface warming (1979–2000) lay outside normal natural variability.,"Craig Idso, Robert Carter, S. Fred Singer, Heartland Institute",30-May-17,Misleading,incorrect,FALSE,MISLEADING
